nickname;blurb
user1685668293152;Lmao ok amber just give up you going out sad
Noah;Oh dont Cry Little amber
Jennifer Ashmore78;Thought her statements were on trial not what Johnny’s lawyer said.
Josielyn James;She slept with someone… duh! That’s how she got 10 minutes. It’s the Amber way
Adrianna C;AND WHAT ABOUT JOHNNY?
User1;Remember the script amber
Holly Pinson923;how do you think Johnny feels bro
user7817348872395;dont cry Amber we are with you..
Lucky Welker-Sipe;We need a movie!!!  Who should play Amber and Johnny??
Kayjay;Johnny has to relive it. He has to sit and listen to you.
Shannon Bresnan;Maybe because you deserve it. Painful things? What of the things you’ve done to Johnny
Lace06loo11;Amber couldn’t do press or shoots because of covid!
AlejandraLulu;when Johnny team is going to talk?
Ashlynn Piper;y’all realize that johnnys been through abuse before, he’s mom was sooo abusive so he knows.
For: The Weakest of Us;Yet perfectly fine to throw Depp under a bus?
HowardtheduckLmboa092;L amber L her statements
Adrianna C;AAAAAAND WHAT ABOUT JOHNNY?
elodie;So does Johnny sweetie
user7129475430515;AMBER CREATED THIS ALL BY HERSELF
Sophie;So now she knows how Johnny felt for years???!
Terri;johnny got kicked by Disney after all them years of sparrow lost Grindleward
Miranda;If Johnny doesn’t win this is rigged.
Autumn;Lol how does she think Johnny felt??
Baby cee;Johnny deserved better
Alexia;johnny y love you so much
Micaela;Now she knows how Johnny Depp feels
Nikki;Johnny literally missing a finger you look fine to me scar free
islandgirl_art;BUT YOU ARE MISS AMBER!!!!
surgeonslaps;Amber Jussie heard smollet.
Karaoke Zachary;This is horrible team amber
Kika;JOHNNY GOT IT WORSE, FIRST OF ALL
doodel_slob59;Why she copy depps outfit
Itah Fong;we woman should stand for amber
Sam;Tell them Amber I Amber Heard caused this to myself
Davanonlyone;stop looking at it. I mean she got over her other shit. she is a liar. how do think Johnny felt
user7150678327743;Amber stop trying to make ur self fry and the lies are above 100
Feelzofkill;what did johnny survive tho..
Kayleigh Manning;Johnny wants to move on.
Robin;boehoe govto jail amber you liar
Stephanie Ewing-Brown;LIAR YOU DONE THIS AMBER
Elisa Favilli;Ma quando saranno gli avvocati di johnny a fare comande?
Gaming Ninja997;I shit on da bed Johnny
dbkegan1;Johnny left her alone she is the one started shit
ArcanaPath;This isn’t a movie amber
Dave-O;Is there anyone who actually believes a word Amber says?!!
Welcome to my page!;JUSTICE FOR JOHNNY DEPT
Max;you said the same thing about Johnny if not worse
Ace Winchester;dude Johnny lives rent free in her mind
Denisse Lopez;I love Johnny hasn’t looked up once
user4155357475707;They way she put Johnny trough pain for YEARS. All based on lies!
Mhicaela;WHERE ARE THE TEARS AMBER
user7129475430515;AMBER YOU CREATED THIS SAGA YOU ARE THE PROBLEM YOU CREATED THE LIES
Elizabeth Aljus;johnny had to live with what you did for years
uyandahyaya1;justice for our Depp!
KirstyK705;Yep and you will. KARMA is a biotch Amber
You Tell Me;Hard to remember lies huh Amber
Emma Jane Henders;oh get over yourself amber
user5566284370884;I am curious to know who abused her after she got divorced with Johnny
CHlove;please stop leaving Johnny
Dark princess;Remember amber you need to cry.
ja;Johnny you Just hit me
Cindy Johnson;Yes for JOHNNY,  Not U
ToyotaAvensis99;Me me me…. What about johnny amber? Did you think about him?? His kids, family.. no you didn’t
Harry Roberts815;Hahahah she copying Johnny security
Yesenia Hernandez;How did Johnny fall for this women
Gail C Weiner;Oh Amber you made it worse
Mestly;POS move on y deja a Johnny Alone
Wendy;Johnny you just hit me
Eh;This is such a joke. Asking depp “Why he did that” as she’s the one the started all this
user7129475430515;Amber now the world hates you congratulations
Savannitty Maysonet;Fighting for sympathy when Johnny deserves it
jesstwardowski;all the texts leaked stats that she always contacts johnny
She Bilacaol;Don’t cry amber. It’s your fault in the first place
Melts21;Get your tissue out amber
Dez;She thinks THIS is torture!? Imagine what Johnny is going thru
Water;2023 Leading female oscar nominee: AMBER HEARD ..
user1537901891828;where are your tears Amber
Snooky;An the academy award for best actor is...   Johnny Depp coz she was locked in the bathroom
Gaya;Baby ! Cry baby Amber!!!!!!
Rufus24gu;Johnny Depp is innocent
jessiethe1993capricorn;DISNEY REPLACED JOHNNY FOR MARGOT
Rose Mooney;Johnnys lawyers gonna get you
Danielle;Johnny ain’t impressed w her acting
Kayjay;The guy behind Johnny is watching amber. Lol
August;Johnny got drip I can’t lie
Catherine Olls;you started this Amber
Pearlyn Cheng;Has she thought about it when she made the claim about johnny? Gosh
Ariel;Johnnys probably so embarrassed he even messed with her
Lollydnola;Cry me a river  amber
Noor;Johnny litarly said nothing I miss his voice AAH
Ryan;DONT LOOK AT HER JOHNNY
undefined;Johnny is like blah blah blah
Dustin Jensen;She says recess and the act is over for amber
Sam;Johnny says you did this are u happy
Jack;Amber started this lol
Thebexsweet;oh dear Amber you started it
lu;amber it’s scary like osh
Thaniia Garcia Martinez;Johnny don’t move on get your justice
Angie.O_o;Johnny most likely has CPTSD and for him it was torture to have to relive the abuse Amber
Char;JOHNNY IS AMAZIBG HE DESERCES ALL PUR LOVE
Karolína Rajová;JOHNNY DEPP IS WINNER
Anithia T;johnny yyy....my fav actor.... i hope u in the right
Hannah Clancy107;I love Johnny so much
broadface_mikayla;Look at Johnny lawyer lmao
S1t_down_shut up;Objection amber heard is MEGA GAY
nick fig;IF AMBER LOSING SAY ONG
Michelle Bowman;LOVE HOW JOHNNY AVOIDS HER AT ALL COST
Idkguess;The way Johnny stood to the side to not face her
Veronica Poston;JOHNNY DEPP IS INNOCENT
Terri;acting poor amber pfft she did all this destroyed johnny now pretending to cty
user1712459043568;poor johnny is like why did i choose her!
Samantha;Stop looking at our man amber
user7129475430515;AMBER MOST HATED IN UNIVERSE
o.o;Why do they let her talk but now Johnny depp?
Auntie_square_peg;come on Johnny you got this man.
Janelyxo;You want this to move on but accusing Johnny WEIRD FLEX
Thedivinesummer90210;I believe her. Johnny is evil
Caroline Sims;girl  try to boy trap  Johnny
ladyofnyx;I feel like people who are team amber are just like her
Carissa Love;Great job Amber A+ for acting
jessiethe1993capricorn;DISNEY REPLACED JOHNNY FOR MARGOT
Megan Connor956;Back acting amber you are a joke!!
Lvl 698420;Wow Amber went from crying to not in a second
Nobody;why was Johnny facing the other way? to avoid her?
ProSandra8877;Johnny have the right to cry, Not you Amber !!@
Remona;we believe you Johnny
polarcub93;poor johnny he looks he needs a bath
Stephy Ng;JUSTICE FOR JOHNNY DEPP
Annaly_tial;She wants to move on after ruining Johnny like
user6622182713898;Johnny could have done so much better
Angelina;Ouch my ears this noise is almost worse than hearing amber fake cry
!;we don’t care amber #teamjohnny
christinelburns ;now she wants to be left alone when she wrote article to ruin johnny
Rebecca Tarin552;Yet she was the one who decided to write an article. Don’t you think johnny wanted to be left alone!
t;se viste igual que johnny
user1685668293152;It’s looking real bad for amber should’ve stopped playing games
Mary;There’s even a call of Johnny telling her to drop it and she refuses too
qweenbee5150;I wonder if Johnny took a shower today
your mother;Notice how she has the same grey on as Johnny
Mina Joseph;Johnny depp depp depp Johnny depp depp depp
Brian;And Scene great job acting Amber see you in 15 minutes for take 2
romeo;amber we need tears ok... 3.2.1.action!
Lucky.;Johnny looks so cool even in court
jessiethe1993capricorn;DISNEY REPLACED JOHNNY FOR MARGOT
thatskycricket;POV: Wgat Ambers brain sounds like
amie;LMAOO they’re waving at Johnny
Char;I love this so much tbh Johnny be destroying her
Eliah Bayer;Everyone put #TeamJohnny
N;Aw they are all waving to johnny
Ro V81;All the waves for Johnny
NewMoon;JOHNNY WON ITS A WRAP
Jennifer Burleson Broome;johnny waving to the people as the cheer!
Romi;I love how they wave at Johnny lol
Josiah;Jonny pls stand up to amber
akimovadiana;Johnny!!!!! We love you
Doris;Amber ser despreciable
Noel Faith;I can’t wait for johnnys lawyer
Jayme;NOW ITS JOHNNYS ATTORENYS TURN
selina;ah the gallery waving to Johnny
Yece;Everyone in there love Johnny lol look at them
clmessick;i love all the love for johnny
•/•;They went on break because amber started to “cry”
grasya orense;i just hope this ends soon.. Johnny is tired of her lies
Alexis Christine;One two Johnny’s legal team is coming for you…
hailey b raps;For amber to win there just needs to be evidence that Johnny abused her once
BootlegRascal;justice for johnny deep
user4789347429173;Omg gotta drop an amber! Hahaha
marketer.tovar;Goo Johnny Goo Johnny
Dani Estrada360;go Johnny go! Johnny B Good!
user082580;Amber hates karma!! Lol
Type_rogue_official;Amber heards whole case was objection hearsay
E;JOHNNY I LOVE YOU MAN
Ivania;Team Johnny all the way man
kyra;Team Johnny all the way but she’s a joke just get it over with and say Johnny won
Guilty_on_12_Counts;johnny ruined his own career & it should have ended decades ago when he proved his v1olence
Kobe;Johnny waving yo the fan club,  what a joke.
M K;Johnny Depp is a good man
annieburgess7777;we all love you Johnny
BxttxmBeach;Johnny Ma Bro!!! We believe in itttt
Telma Martins;what a Patience to ear amber...
Hailie Ortiz;I think Johnny is going to win
son_goku;HAHAHA YOUR FACE AMBER
Sarah Williams;When are depps team due to question?
RedScar330;ambers such a performer
user;Johnny suite oversized
jessiethe1993capricorn;DISNEY REPLACED JOHNNY (JACK SPARROW);FOR MARGOT
Koellmer;Everyone grow there hair out in movement for Johnny
Jonathan;EVERYONE SIGN THE PETITION TO REMOVE AMBER FROM AQUAMAN 2
Brittney;Stay Strong Johnny, Justice is coming
ginadivina4;Team amber are freaking retorted
Josielyn James;Everyone go grab your popcorn!!! Johnnys lawyers are about to go HAM
Rocío Perdomo;Latinoamérica te apoya Johnny
Maggie Jaskulski;Johnny you got this!!
Sharisse Lee;People who are with amber would never understand a victim!!!!!
Maggie’s Mom;So she barely survived Johnny? Where are the pics of near death?
lmaoldj;johnny team might talk to amber now but johnny himself is done
Char;I LOVD JOHNNY SO MUCH
Tina Resh285;No tears!! As she continues to look at the jury ..& Sneak peak towards JD direction . Oh Johnny
woeieuehenshbs;Amber ruin my life pls
FunnyIan;liar liar Amberliar liar Amber
<3;Amber knows she’s gonna lose the trial she has no proof
Swagmen:);LMAOOO “what ambers brain sounds like:”
jessiethe1993capricorn;DISNEY REPLACED JOHNNY (JACK SPARROW) FOR MARGOT
Kelly;Everyone’s there for Johnny!!!!
Julie Tate;How can anybody on here be on Amber heard side I just can’t stand it so sorry did you believe lies
Kayla;love you johnny! we got your back!
FeliciaAmazon;WhAmbulance for WhAmber
Haley;that shii crazy asf amber a horrible actor and horrible liar #teamjohnny
Forgot my old pass;Johnny isn’t good. Amber is Queen
colette music;Johnny is definitely winning!!!!
user7129475430515;I CAN NOT BELIEVE THAT ELON DATED AMBER SHE HAS NO STYLE
Butteater_37;Team ambers hope y’all get beat up too actually
No;Objection hearsay every single thing she says too amber
B A I L E Y;i thought Johnny won?
Valerie;JUSTICE FOR JOHNNY PLEASE
Mazey1951;Team Amber you are going down!
Diego Jimenez;la víctima de Amber jajajaa
Passionatewoman;we love you amber.. stay strong
jessiethe1993capricorn;DISNEY REPLACED JOHNNY (JACK SPARROW) FOR MARGOT
BIKER M1NG;ano na amber kaya paba
Jasmin;So depp lawyer not gonna ask her nothin
Klisandra Acevedo;When the jury waves bye to Johnny
user7101716580253;Te queremos Johnny te queremos, te queremos Johnny
lorilei78;I’m an hour away Johnny
Brittani Lapointe;Did I seriously just see a team amber
blantonkayla92;Team Johnny all the way
I like piggy a lot;Amber mid < Johnny Depp
Ray;This is going for too long then it should have we all know Johnny isn’t the bad guy here
Evie C;Praying for you Johnny depp thank you for your existence and making my childhood more bareable
Kim Y;Johnny waving to his fans lol do these women not have jobs ?
juliaaa;Amber lives in her own movie bruh
EVO7_4G63;BEST DJ AMBER HEARD EVERYBODY
Jennie;TEAM JOHNNY HERE IN THE UK
user4449439790565;Anyone saying they are “team Amber” is clearly delusional!!! Nothing she has said has been true!!
MusicUnites21;We can see right through her lies she’s upset she’s about to lose what she stole from Johnny
jessiethe1993capricorn;DISNEY REPLACED JOHNNY (JACK SPARROW) FOR MARGOT
RubySue;Kim Jong outfit,,,,move 2 North Korea Amber
Beth;I feel terrible for Johnny but I’m so glad everyone gets to see how awful amber is
bay;wait which one is ambers lawywer? someone help
Speed Racer;Johnny, you’re #1 bro. Nobody believes that lying narcissist
Tiffany K.B.;sign the petition to remove Amber heard from aquaman 2!
LHZ;johnny johnny yes papa
MARVEL Family;Johnny Depp of the gods
johnny0282;Johnny johnny yes papa
privat.suzana;JOHNNY WE ALL LOVE YOU
THE_HONEST_MF;JOHNNY LOVE YOUUUUUUUU
Deja.vu;@bff_fariys4eva depp*
Angel;Y’all sending death threats to Amber Heard is only going to make people feel bad for her
MiniReaper-Joe;justice for Johnny dep
Catia Montana;AMBER IS MAKING ME TIRED WITH HER ACTING, WE DIDNT EVEN KNOW IT WAS HER IN AQUAMAN OR MAGIC MIKE
kinzieraekellum;Get ready to see the real amber during cross yall
anon1887;Okay but who is amber looking at the whole time the jury?
privat.suzana;JOHNNY WE ALL LOVE YOU
..Ava..;Rasie your hand with an emoji if your on johnnys side!!!
Natasha Mermoud;Do you know when depp’s lawyer are interviewing?
Rocío Perdomo;Te amo , I love Johnny
Eduardo Cisneros Per;@sarahjj85 TEAM AMBER
..Ava..;Rasie your hand with an emoji if your on johnnys side!!!
GoddessBloo;Johnny we here support you!!!
user1388516909094;She wants Johnny to move on ….  Guess what love I think he has
privat.suzana;JOHNNY WE ALL LOVE YOU
erickflores;$Erick7flores someone cashapp me some momey to buy Johnny some flowers when this is done
Jamiez Welland;luv ya johnny from Australia
Today;I swear Johnny already won
privat.suzana;JOHNNY WE ALL LOVE YOU
..Ava..;Rasie your hand with an emoji if your on johnnys side!!!
Warrior Queen (Queen;people who said "team amber heard" yuck you all support an abuser and who has been manipulating you
Andrea Myers;Cashapp $amyers0401 team johnny lol im hungry
..Ava..;Rasie your hand with an emoji if your on johnnys side!!!
Drea Barajas;AMBER YOUR GOING TO GET WHAT YOU DEFINITELY DESERVE
Olixtreme;Amber heard is a legend with the egend
privat.suzana;JOHNNY WE ALL LOVE YOU
mako/kora;i love you Johnny depp
..Ava..;Rasie your hand with an emoji if your on johnnys side!!!
Terri;proof of her abusing three people still gets away with it no actual proof of johnny abusing anyone
weeneegee;when amber cry : ........ ??
tobecontnuedl8r;Johnny is just playing his little games
user1997080488996;Amber Heard you should ask your cross dresser Elon Musk for the 50 million. for keeping Elon secret
KellyBear96;Who actually believes Amber
<3;pf I really want this to be over, and see Johnny  free
NeonDepresso;Amber heard reminds me of a Karen-
..Ava..;Rasie your hand with an emoji if your on johnnys side!!!
user4620340274330;#Justice for Jonny Depp
user7129475430515;I CAN NOT EVEN Wtch Amber
hailey b raps;If she wanted to move on she would have done this privately like Johnny said not tell the world
Samantha May;Amber Heard is a LIAR
Younggangg;@kinzieraekellum wym real amber
Emma Cooper;@karensita_51 amber trying to win a Oscar
Guilty_on_12_Counts;I wonder who johnny is going to hurt next
user7746169022988;im just wasting for Johnny
Pop_DiSs;Johnny had a baby with her
James B Ware;ambers microphone is on damn she can snort a big one huh
Elizabeth Vorster;Tell you what, Johnny spent a pretty penny for this media campaign against Amber
user7129475430515;I CAN NOT EVEN WATCH AMBER
Erika Garcia;We already want to see the end, justice for Johnny and jail for that liar.
SimplifyByAnne;Anber Heard is a disgusting human being #AmberHeard
macey;MY DOG STEPPED ON A BEE ON NO AMBERS CRIPPLED I SEE
ProSandra8877;Team Johnny , germany is behind you
Miss Kitty;I hope Johnny gets to help he’s so desperately needs.
Aliesha Jackson;bring up life before Johnny SHOULD BE FASTER
dykt0n7yg1b7;Johnny desde barranquilla  Colombia  te apoyamos eres todo un caballero
Meagan Snow;Can’t have pots without johnny
Destiny Verniece;Johnny And Amber Prayers
dariel <3;we all know amber is lying but if the judge says she’s lying and Johnny is not guilty Johnny can sue
user2703599430711;johnny wanted to move on as well. but you said what you said and did what you did, so here we are.
Xetlz3842;Who said justice for amber
Terri;amber makes me so angry how can she get away with all this glad some people are seeing her
Muhd Khidhir;team johnny all the way
Guilty_on_12_Counts;leave her alone johnny
Chilatole;porque la justicia norteamericana permite que locos como Amber Heard den testimonio
user;Johnny colonel sanders suite
Prince Dark;anyone else waitin to feast on amber tears
Emma Cooper;@acexjunabee no not her and Johnny the bloke she had a affair with while with Johnny
Aesthetic.Girl.Sophie;Amber is gonna be done for chopping his finger so she better own up
hailey b raps;Johnnys attorneys will catch her in her lies
Miss Kitty;Come on, Johnny’s going to lose! I hope he gets the help he so desperately needs.
Yuni Rahman;Johnny! you are the winner
Nerdmom83;brushing teeth and then watching amber go down
terasadower;team johnny all the way, she is the reason women are not believed.
Funigal;someone should play thr johnny depp song outside court
liezlwahl335;JOHNNY, I BELIEVE IN YOU.
parham252;WE LOVE YOU JOHNNY!!!!
Bella23 ;Team Johnny! I hope he wins !
tobecontnuedl8r;Johnny Depo is just acting and loving the chaos
Muhd Khidhir;amber lies will come to an end sooner or later
Renee;I love you Johnny, you are my hero and always in my dreams. Johnny you know how much I love you?
Bryceedes Aguirre Ch;Oh Amber we dont like you anymoreeee
Jennifer Morgan;Team Johnny forever amber heard is a liar and a fake
Michelle Marie;Johnny Depo and Amber Heard bringing us together …
11_Lani_11;does anyone ACTUALLY support amber? must be a joke
Charizard_cave;15 minute break so Amber could go go sniff sniff
lorilei78;I’ve been waiting to see what Johnny’s lawyer does
Freya Harvey;Jingle bells, ambers smells, amber told a lie!
Meagan Snow;Unless Amber produces her mountains of evidence
justiceforJOHNNY;Amber will get what she deserves.
zoe_sosa;does johnny go back up there?
people2people2;Is anyone buying what amber is saying?
Prince Dark;OH HOW AMBER HAS FALLEN
user7129475430515;JOHNNY I  BELIEVE YOU AND YOUR HONEST WORDS
Ellen Young795;Team Johnny!! We live in Kentucky too!!
user100073726822663729;Go Johnny! U got this!!
sunflower_2805;Amber needs some help
Jaysin Nightengale;Johnny is not the only one! Men suffer too!
Julie Mae;@violet_titus is it johnnys lawyer next ?
sunflower_2805;Amber is full of lies
user3089798814775;hes so obsessed with amber
Krystal Alicea492;I’m on Johnny’s side team Johnny
drea;Johnnyyyy we’re here for you
marylou rowe;Johnny is just pouring his mega pint
<3;say w if your a Johnny fan
yours;bruh who is for amber just got brainwashed
Alexia;amber y sus lágrimas de cocodrilo
user5988474345859;Is amber back on after break?
Water._.manipulator15;ITS NOT JOHNNYYYYY, ITS AMBER SHE IS SUCH A BAD ACTORRRR
user7129475430515;2 people only like AMBER
user9715055586726;she never had bruises from johnny!!! all injection sites
Emma Cooper;When’s Johnny lawer got her
yours;who loves amber got brainwashed
margaret murdoch;Johnny’s layers will soon get the truth out of her
justiceforJOHNNY;Johnny is right handed...the red on her face was on her right....does not match
devyn;anyone who supports amber is clinically insane
Karie Raymond;Is that a picture of Amber standing over Johnny??
Jane Barlow;Hi I hope Jonny depp wins the court case
Lol;U GOT THIS AMBER WE KNOW UR INNOCENT WE BELIEVE IN UUUUUUU
user082580;Amber has a case of the Mondays….
Gem;Amber is just a drama queen!!
C;when is johnnys turn to talk?
Talia;Are johnnYs lawyers asking the questions now ??
GLAMMA;Shes such an amber lol
Eli;@tiffany_madeline let him eat tail amber
Valery Satkowski;@laurie.love17 nah I’m from Kentucky! Johnnys home haha. I’ll just be getting started
Artymiss42;does everyone here believe johnny is totally innocent w no lies???
Jess Herley;@artymiss42 no, I don’t but I most certainly do not believe Amber
Maryam;Amber is going to cry real hard even to the smallest questions
Dizzy;@georgiaann1517 nah, but amber finnally presented some compelling evidence
MummabearJ;@nickgilmore43 Johnny’s te asking amber questions
Zxlm95;But I think amber did more damage
Maryam;amber one minute she was crying next minute she was all aggressive
Cheryl Harris;Amber is text book narcissist...with evil and violent tendency
Crazy Dog mom;Team Johnny all the way
Mari;@georgiaann1517 amber instigated a lot
Sheri;Amber is going to faint
Valerie Wasilwa;Damn Johnny supporters do not play
Elizabeth;Amber isn’t even ready for Camille
Ariana;My fav movie from Johnny depp is “Blow “
Zoë;Camille is gonna dogggg walkk amber!!!!
Angela St. Julien;Johnny has his family here rooting for him
Bianca Chiara;EVERYBODY SEND PRAYERS AND GOOD VIBES TO JOHNNY AND HIS TEAM!!!
Kirstenjohnson1994;@valeriewasilwa ambers team will question amber 1 more time
Kozak;Look at ambers demeanor in the other trial, wheres that energy??
Kelly;At least Elaine riled Amber up before cross and her mad
Elizabeth;I hope Camille drags amber down
L;That’s her on the bottom of the logo. Johnny on top
sarahv;Hope amber has her depends diaper secure
ckmarley;Is Amber having an episode
Smiles;AMBER IS ABOUT TO BE CRUSHED ON CROSS
Jenna Toth;Just type Johnny depp trial on YouTube and the live will pop up
user7129475430515;Amber wants to live for free, to live in penthouse cheat with men & chicks do dr*gs her plan, paid4
user7129475430515;ELON GET BACK WITH GRIMES, ELON HELP OUT JOHNNY, ELON YOU CHEATED THE WORLD KNOWS
user7129475430515;I CAN BELIEVE THAT ELON DATED AMBER
user7129475430515;Amber wants to live for free, to live in penthouse cheat with men & chicks do dr*gs her plan, paid4
user7129475430515;Amber suing Johnny for $100 Million, she started the fights& taping because she wanted Johnny angry
Sheri;I bet ambers going to faint and be taken away
Dino Graves;The delay is Joe Biden stopped by to sniff ambers hair
Ella of Frell;I would be excited just sitting feet away from johnny
tornadolover77;Johnny just happily drawing
Esnällaaaa;We should help the bee sue amber
sharon R248;Team johnny from holland
Demi;Cross is when depp’s lawyers examine her
crystalecam;cross is when Johnny lawyers ask the questions
Vixen;objection cancel amber
Anna B Collections;she keep looking at Johnny
kvothethebloodless7;@kayleespeers Johnny’s lawyers get to ask her questions now and prove his claims against her
Carlos Rocha;Cross exam is when Johnny lawyers question everything amber has said
Mal;can we hear LETS GOOOOO JOHNNYYYYYYYY
Kool..Aid_lover;johnny depp all the way
Cassieee_420;@tabithaplunk5 same shit lol, amber talking in circles.
CatherineRAuthor;I love that Amber has to sit there.
megan_cadman;@keannaw765 Johnnys lawyers basically grill her
Angela St. Julien;Johnny on a serious tip, how are you eating all these gummies. I have a belly ache eating these.
Jay;Amber will win this case by fooling the jury, mark my words. They will fall for her tricks and lies.
Kate Fineran;Crazy lady’s hair looks good today tho. #teamjohnny
Kyle;blue hearts for Johnny
Clementines Mom;I heard Johnny wants to retire from acting after this
Maddie v;blue hearts for Johnny
POV.ITZADINA;JONNNNYYYYY DEPPPPPPP
emma_grace1;Can’t wait for x ! But !!! Johnnys lawyers won’t be harsh but they will be clever !!!
Kool..Aid_lover;LETS GO JOHNNY DEPP ALL THE WAY
Kellsey Avery;I can’t wait to see what the cross examination holds. I am ready for amber to slip up.
Ace1960;Not supposed to be on social media Amber typed
Kaye;Don’t y’all feel anything for Amber?!!!!
Kayla Johnston819;someone buy johnny a mega pint when he wins
Cassaundra Cimino;She keeps staring at Johnny
Kyle;BLUE HEARTS FOR JOHNNY
kelley.forestell;I hope johnny depp wins
s;Justice for Johnny depp
Briana;why is she staring at Johnny
Eldon Maxwell;Why she keep looking at Johnny?!?!
Dawit Simon;Cross examination is when Johnny team go at her with questions to try and prove her allegations fals
Lynn Mackenzie;Karens keeping her eyes on amber
Roseannemadison;No drugs today amber ?
Amanda_Bama2.0;Amber needs to serve time for lying many times and for defamation of character
TC_;she’s like hurry up so i don’t have to look at johnny anymore
Amahle Dlamini;Time for Johnny’s lawyers to ask the questions
CatherineRAuthor;I think it’s awesome how Johnny is just not acknowledging her presents.
Anasia Ellis;i feel like after this johnny deserves muffins and a mega pint of wine
John B;Love how she keeps looking at Johnny
Papacha07;JHONNY WE BELIVE YOU EVERYTHING SAYS AMBER IS A LYIER
Prashan;amber is drop dead gorgeous
JazzyzSnazzyz;Why does she keep copying what Johnny is wearing to court.
Kaye;I feel sorry for amber
Bridgett Ambriz;Any Johnny fans I’ll be posting captain jack sparrow dolls!!!!!
kitty;Amber buuuuuuu buuuuuu buuuuuu buuuuuu buuuuu
grace&hope;amber did her research and looked at social media
Luke_T;Johnny playing Runescape right now
Clunkes;Why is Amber next to the judge
user7129475430515;Amber wants to live for free, to live in penthouse cheat with men & chicks do dr*gs her plan, paid4
Em;What would happen if Amber wins ???
tinaelmoreharris;Stay strong Johnny...We Love You
ANYWAYS;#JUSTICEFORJHONNYDEPP
Sofia;Amber has calmed down with the acting
yo... Adrienne;An article just popped up on NewsBreak saying Amber was quoted saying the trials not on JD side
Chloe;Johnny is 58 years old.
Sweetly_April;I don’t see how they can use ambers audio when she controls the narrative
Pamelapamela5959;Amberrrrrrrr we can see thru your BS!
Brenda Lee Dickens;Johnny I need a meg a pint of what your having lol love yeah
ItsXav;Justice For Johnny Depps middle toenail
Scott Elwell;so, is amber single or what
Tina Neely Nesbitt;I miss CryBaby Johnny!!
p.sivam;when amber will be cross examined??
user7129475430515;Amber suing Johnny for $100 Million, she started the fights& taping because she wanted Johnny angry
notmolliefarrell24;literally how is amber not in jail yet she is literally lying
lisaG;AMBER IS AN EVIL BEEEEEEEEEE!!!!!
Carter_1823;I’d love to see the masterpiece that johnnys working on lol
user3082197614604;SLAAAAAAYYYYY MISS AMBER
juliafollett11;Johnny for the win like the live if you want Johnny to win
user606094;amber would not win no matter what
Sarah Boulavsky;i don’t think either one of them are innocent, but amber is crazy
leii;I thought Johnny was playing fnaf
grace&hope;Give a Blue Heart for Johnny Everyone
emma_grace1;Love how Johnny just zoned out and draws !
user2037378946745;Johnny Depp Depp Depp
Righthander44;Johnny Depp starring in "Disinterested"
Catalina Martine4905;all the people, is with johnny
Rxssly_sama;amber is up to something in that corner
Anasia Ellis;i wonder if she sneaks glances at johnny
V;Amber won        This nuts!!
Carly Graham;amber mentioning the makeup proves she has been online
Alexis Yvonne;amber heard needs to be slapped now x
raifaka;Argentina .todos con jhony depp
user7129475430515;The reality Amber no one had ever heard of you, you got with Johnny for Hollywood connections
Cally Jackson;everyone raise a mega pint for team Johnny
Nate;JUSTICE FOR JOHNNY DEPPPPP
Jordan;Why is Amber hissing?
Cella;I don’t think either will win. Johnny will come out of this very well .
Ellis;Talking about how much shit Amber turds talking
dawnobee;Amber lookin like dr.evil with that coat LOL
lovemedicalspa;does johny Depp have ticktok??
.;JOHNNY DEPP DEPP DEPP JOHNNY DEPP DEPP JHONNY JOHNNY DEPP DEPP DEPP
Jane Barlow;Hi I hope Johnny Depp wins this court case
tinaelmoreharris;Justice for Johnny Depp....
lafujoshiotaku;Amber watafak you doing
Abi Hosey;Quit call him cute he’s grown. Hate amber tho
Nicole Diane Factuar;amber in the hot seat
Georgia Koulouvardi;Jo jo jo johny depp depp johny johny depp
JOHNNIE Prideaux;Justice for Johnny Depp
Tammy Lynn;Wait did that say amber won?? How?? She wasn’t cross examined yet
.-.-.-.-;depp depp depp johnny johnny dep dep johnny johnny dep
sofu;Hey Amber, what ya thinking???
Tor;Is anyone team amber lool I think not
Maria Alexandra;justice for johnny!!!!!
sejal kumari;Amber’s lawyers are done asking questions. Whats gonna happen next ?
aleah;#justiceforjohnnydepp
Shadow>you;She keep looking at Johnny
loveleenrodrigue5;Team Johnny ! Team Johnny
Moonlight;Someone said “tEAm AmBeR”
Moonlight;Someone said “tEAm AmBeR”
Fatimah;Imagine having to sit across from her I feel bad for Johnny
?;@zainerichmond1 NOT team amber
CameraRollMemePage.3;All my boys hate amber heard
Carcarann87;team amber your a joke
poppysmalz;anyone else wanna cuddle Johnny?
Tammy Lynn;Why are people saying amber won
hellomotto999;Here comes the cross!!! Been waiting a week for this! #justiceforjohnny
Lisa Silvester McKen;Johnny smells like cigs
Tammy.;Sounds like the tears Amber wishes she had.
Moonlight;Someone said “tEAm AmBeR”
Alex Grace;Wait did someone just say team amber?! Noooo
tori.lanes;AMBER DID NOT SLAYYYY FOHHH
Nadine Wijngaards;We all know that johnny will win
C.B;Amber is just sitting there lol
tancretigolfing;Johnny Depp and Amber bother beat each other, both at fault.
...;@ricardosanchez1228 ummmm why tf team amber lol????
Janeth’s Party Supplies;Amber face and peaking
Luffytaro;Amber heard is heard tue jurdge
Larisa Castellano643;What is Johnny doing?
itsmehkayde2;Praying for Johnny depp
